vendacodigo,vendadata,clientecodigo,vendavalor
1,11/03/2018,44,9867.19
2,09/03/2018,2,2228.24
3,22/03/2018,23,526.4
4,06/03/2018,74,4706.32
5,19/03/2018,90,6136.14
6,02/03/2018,91,
7,30/03/2018,2,8038.86
8,17/03/2018,21,2730.53
9,25/03/2018,58,8183.3
10,06/03/2018,73,9166.81
11,21/03/2018,7,4752.36
12,18/03/2018,7,7514.09
13,24/03/2018,29,3923.95
14,13/03/2018,98,1974.96
15,28/03/2018,24,4331.32
16,26/03/2018,51,6758.63
17,29/03/2018,99,3325.74
18,30/03/2018,84,8765.88
19,24/03/2018,16,7571.33
20,05/03/2018,10,6160.22
21,12/03/2018,86,9065.68
22,11/03/2018,10,1363.55
23,06/03/2018,97,2164.28
24,13/03/2018,74,9458.86
25,27/03/2018,84,6744.39
26,28/03/2018,80,4717.65
27,24/03/2018,4,2042.87
28,19/03/2018,22,8931.27
29,29/03/2018,36,7071.08
30,30/03/2018,22,6633.15
31,28/03/2018,77,6689.53
32,19/03/2018,2,6989.73
33,16/03/2018,45,7946.31
34,26/03/2018,56,2157.09
35,26/03/2018,66,4821.16
36,10/03/2018,70,4007.48
37,28/03/2018,100,2751.8
38,29/03/2018,18,394.68
39,02/03/2018,18,5458.8
40,04/03/2018,81,4894.12
41,20/03/2018,27,6820.86
42,22/03/2018,86,6114.32
43,02/03/2018,84,7704.71
44,25/03/2018,13,5741.57
45,25/03/2018,87,5895.53
46,10/03/2018,78,5711.25
47,09/03/2018,99,3442.23
48,03/03/2018,34,2036.33
49,10/03/2018,26,1101.09
50,30/03/2018,57,7975.82
51,14/03/2018,52,7631.25
52,04/03/2018,9,9938.23
53,22/03/2018,11,4262.08
54,06/03/2018,59,4759.46
55,22/03/2018,71,3624.73
56,13/03/2018,29,6030.23
57,14/03/2018,5,3012.34
58,09/03/2018,37,9031.28
59,25/03/2018,2,4785.77
60,11/03/2018,34,9103.59
61,29/03/2018,57,4493.05
62,17/03/2018,86,7114.41
63,26/03/2018,65,7741.09
64,22/03/2018,97,9424.74
65,29/03/2018,52,1616.33
66,04/03/2018,55,8193.69
67,26/03/2018,87,6118.18
68,08/03/2018,21,3767.34
69,30/03/2018,60,2452.47
70,15/03/2018,25,713.17
71,22/03/2018,12,
72,15/03/2018,13,8263.51
73,12/03/2018,75,9180.98
74,14/03/2018,100,7828.58
75,10/03/2018,2,615.33
76,26/03/2018,87,5280.04
77,15/03/2018,52,6772.72
78,23/03/2018,88,6598.84
79,14/03/2018,41,1407.83
80,25/03/2018,42,3658.81
81,29/03/2018,13,8853.15
82,25/03/2018,67,8593.42
83,29/03/2018,55,4560.58
84,14/03/2018,73,4821.2
85,11/03/2018,46,8540.18
86,18/03/2018,19,2152.28
87,12/03/2018,74,746.64
88,21/03/2018,71,3489.47
89,15/03/2018,20,2884.37
90,28/03/2018,6,867.21
91,29/03/2018,58,1161.51
92,29/03/2018,66,3290.4
93,20/03/2018,60,5504.25
94,19/03/2018,91,8495.27
95,11/03/2018,57,7179.61
96,30/03/2018,75,8918.43
97,14/03/2018,81,3674.46
98,06/03/2018,14,4541.59
99,28/03/2018,73,8341.18
100,22/03/2018,1,4638.0
101,25/03/2018,23,4165.93
102,24/03/2018,6,6170.33
103,10/03/2018,100,
104,20/03/2018,22,2368.52
105,24/03/2018,40,4485.77
106,15/03/2018,91,5293.35
107,02/03/2018,32,6872.06
108,02/03/2018,46,2759.8
109,04/03/2018,26,7644.8
110,24/03/2018,29,9933.74
111,09/03/2018,73,720.87
112,05/03/2018,96,9697.51
113,22/03/2018,97,6356.66
114,19/03/2018,73,8430.46
